"RestaurantID","ID","customerID","Group","TransactionID","AvgWaitTime","BufferTimePercentage","actualDeliveryTime","expectedDeliveryTime","satisfaction","cancellation"
"001","001557","001557","treatment 2","06394",45.7985457318785,10,39,43,3,0
"001","002187","002187","treatment 1","08943",45.7985457318785,5,47,49,3,0
"001","000385","000385","treatment 1","01566",45.7985457318785,5,45,47,3,0
"001","002698","002698","treatment 2","11007",45.7985457318785,10,43,47,2,1
"001","001192","001192","treatment 2","04876",45.7985457318785,10,53,58,3,1
"001","001539","001539","treatment 3","06314",45.7985457318785,15,32,37,4,0
"001","000028","000028","treatment 2","00109",45.7985457318785,10,53,58,3,0
"001","001142","001142","control","04684",45.7985457318785,0,54,54,3,1
"001","001435","001435","control","05873",45.7985457318785,0,43,43,2,0
"001","001893","001893","treatment 2","07791",45.7985457318785,10,56,62,3,1
"001","001056","001056","treatment 1","04333",45.7985457318785,5,44,46,3,0
"002","001564","001564","treatment 3","06418",33.5972747445045,15,42,48,3,1
"002","000613","000613","control","02492",33.5972747445045,0,35,35,4,0
"002","001707","001707","treatment 3","07010",33.5972747445045,15,46,53,3,0
"002","000951","000951","control","03898",33.5972747445045,0,33,33,3,0
"002","001925","001925","control","07922",33.5972747445045,0,39,39,3,1
"002","000125","000125","treatment 1","00509",33.5972747445045,5,38,40,3,0
"002","002676","002676","treatment 3","10935",33.5972747445045,15,29,33,3,0
"002","002360","002360","control","09624",33.5972747445045,0,40,40,3,0
"002","000365","000365","treatment 1","01487",33.5972747445045,5,30,32,3,0
"002","001150","001150","treatment 3","04715",33.5972747445045,15,32,37,3,1
"002","000653","000653","treatment 3","02641",33.5972747445045,15,39,45,3,0
"002","001268","001268","treatment 3","05193",33.5972747445045,15,34,39,3,0
"002","001192","001192","treatment 1","04878",33.5972747445045,5,35,37,3,0
"002","002282","002282","treatment 3","09310",33.5972747445045,15,32,37,3,0
"002","000366","000366","treatment 3","01494",33.5972747445045,15,28,32,3,0
"002","000019","000019","treatment 3","00083",33.5972747445045,15,27,31,3,0
"003","001675","001675","control","06878",30.6250598710349,0,13,13,4,0
"003","002888","002888","treatment 3","11790",30.6250598710349,15,41,47,3,0
"003","001998","001998","control","08232",30.6250598710349,0,20,20,4,0
"003","000833","000833","treatment 3","03384",30.6250598710349,15,37,43,4,0
"003","001307","001307","treatment 3","05348",30.6250598710349,15,36,41,3,0
"003","001799","001799","control","07396",30.6250598710349,0,27,27,3,0
"003","000740","000740","treatment 1","02992",30.6250598710349,5,32,34,4,0
"003","000424","000424","treatment 2","01720",30.6250598710349,10,42,46,3,0
"003","000751","000751","treatment 1","03057",30.6250598710349,5,20,21,3,0
"003","002002","002002","treatment 3","08246",30.6250598710349,15,38,44,3,0
"003","002678","002678","control","10938",30.6250598710349,0,23,23,3,0
"003","001444","001444","control","05908",30.6250598710349,0,30,30,3,0
"003","002606","002606","treatment 3","10652",30.6250598710349,15,25,29,3,0
"003","001250","001250","control","05109",30.6250598710349,0,28,28,4,0
"003","002566","002566","treatment 1","10479",30.6250598710349,5,29,30,3,0
"003","001088","001088","treatment 2","04461",30.6250598710349,10,25,28,4,0
"004","002024","002024","treatment 2","08338",32.2834520984935,10,33,36,3,0
"004","001348","001348","treatment 1","05507",32.2834520984935,5,37,39,3,0
"004","002087","002087","treatment 1","08572",32.2834520984935,5,34,36,4,0
"004","002884","002884","control","11776",32.2834520984935,0,24,24,3,0
"004","002053","002053","control","08449",32.2834520984935,0,40,40,3,1
"004","000876","000876","treatment 1","03574",32.2834520984935,5,32,34,3,0
"004","000693","000693","treatment 2","02795",32.2834520984935,10,34,37,3,0
"004","000739","000739","treatment 3","02987",32.2834520984935,15,28,32,3,1
"004","002467","002467","treatment 1","10057",32.2834520984935,5,25,26,3,0
"004","001035","001035","treatment 2","04245",32.2834520984935,10,35,38,3,0
"004","000466","000466","treatment 2","01894",32.2834520984935,10,33,36,4,1
"004","000156","000156","treatment 3","00624",32.2834520984935,15,38,44,3,0
"004","002808","002808","treatment 3","11455",32.2834520984935,15,33,38,3,0
"004","001550","001550","treatment 3","06366",32.2834520984935,15,46,53,4,0
"004","000779","000779","treatment 1","03172",32.2834520984935,5,39,41,3,0
"004","001116","001116","treatment 3","04578",32.2834520984935,15,32,37,4,1
"004","000445","000445","control","01808",32.2834520984935,0,39,39,3,0
"004","000400","000400","control","01622",32.2834520984935,0,34,34,3,1
"004","001594","001594","treatment 3","06532",32.2834520984935,15,28,32,4,0
"004","000538","000538","treatment 2","02206",32.2834520984935,10,40,44,3,1
"005","002903","002903","control","11846",37.5750861176689,0,40,40,3,0
"005","001862","001862","control","07657",37.5750861176689,0,32,32,3,0
"005","002227","002227","treatment 3","09115",37.5750861176689,15,32,37,3,0
"005","002616","002616","treatment 2","10689",37.5750861176689,10,38,42,3,0
"005","000528","000528","treatment 1","02159",37.5750861176689,5,19,20,3,0
"005","002486","002486","control","10131",37.5750861176689,0,40,40,3,0
"005","000506","000506","treatment 3","02071",37.5750861176689,15,36,41,4,0
"005","001337","001337","control","05468",37.5750861176689,0,52,52,2,1
"005","002200","002200","control","08994",37.5750861176689,0,44,44,4,0
"005","001327","001327","treatment 3","05439",37.5750861176689,15,38,44,3,0
"005","000165","000165","control","00663",37.5750861176689,0,39,39,3,0
"005","001170","001170","treatment 3","04790",37.5750861176689,15,35,40,3,0
"005","002511","002511","treatment 2","10249",37.5750861176689,10,42,46,3,0
"005","002428","002428","treatment 3","09896",37.5750861176689,15,39,45,2,0
"005","000562","000562","treatment 3","02301",37.5750861176689,15,40,46,3,0
"005","001186","001186","control","04856",37.5750861176689,0,37,37,3,0
"005","000051","000051","treatment 3","00207",37.5750861176689,15,36,41,4,0
"005","001691","001691","treatment 3","06949",37.5750861176689,15,31,36,4,1
"005","001460","001460","treatment 2","05983",37.5750861176689,10,34,37,4,0
"005","002110","002110","treatment 1","08654",37.5750861176689,5,39,41,3,0
"005","002142","002142","treatment 2","08782",37.5750861176689,10,45,50,3,0
"005","001319","001319","treatment 3","05393",37.5750861176689,15,29,33,3,0
"005","001955","001955","treatment 2","08050",37.5750861176689,10,39,43,4,0
"006","001070","001070","control","04396",45.9399527027338,0,43,43,3,0
"006","002222","002222","control","09100",45.9399527027338,0,43,43,3,1
"006","001966","001966","control","08100",45.9399527027338,0,39,39,3,0
"006","001421","001421","treatment 2","05809",45.9399527027338,10,53,58,3,0
